id;name;description
1;12 de diciembre;
2;12 de Mayo;
3;16 de Septiembre;
4;1era. Sección;
5;25 de Enero;
6;4 Caminos;
7;6 de Enero;
8;6 de Enero;
9;7 de Abril;
10;Aarón García Tamayo (San Ramón);
11;Abrevadero;
12;Acahual;
13;Acapiztla;
14;Acebuches;
15;Acopeo;
16;Acúmbaro;
17;Adolfo López Mateos;
18;África Vieja;
19;Agraria;
20;Agraria;
21;Agua Blanca (Barranca del Tereso);
22;Agua Caliente;
23;Agua Caliente;
24;Agua Ceniza;
25;Agua de Pinole;
26;Agua del Sabino;
27;Agua Fría;
28;Agua Fría;
29;Agua la Avispa;
30;Agua Neblina;
31;Agua Nueva;
32;Agua Tierna;
33;Agua Zarca del Pinal;
34;Aguacate;
35;Álamo;
36;Álamo;
37;Alisoso;
38;Almendros Residencial II;
39;Altamira o Buenavista;
40;Altaria Residencial;
41;Altavista;
42;Altavista Residencial;
43;Álvaro Luna;
44;Ama Lur;
45;Americana;
46;Ampliación Buena Vista;
47;Ampliación Remedios;
48;Ampliación San Antonio;
49;Anexo Quelabitad Calabazas;
50;Antigua Guayulera;
51;Aquiles Serdán;
52;Arboledas;
53;Arboledas;
54;Armando Guadiana Tijerina;
55;Arroyo del Tecolote;
56;Arroyo Palenque;
57;Arroyo Sabinal;
58;Aserradero;
59;Atotonilco;
60;Aurora Cintal;
61;Azoquitipa;
62;Baja California;
63;Balcón;
64;Barranca Campeche;
65;Barranca del Otate;
66;Barranca Seca;
67;Barrio 5 de Mayo;
68;Barrio Allende;
69;Barrio Alto;
70;Barrio Buena Vista;
71;Barrio Chubasco;
72;Barrio del Tedra;
73;Barrio Guadalupe Victoria;
74;Barrio la Guadalupe;
75;Barrio Morastitla;
76;Barrio Progreso Alto;
77;Basicorepa;
78;Basuchon;
79;Basucumachi;
80;Bayona;
81;Bellas Torres;
82;Bellavista;
83;Bellavista;
84;Bellavista;
85;Bellavista del Río;
86;Benito Juárez;
87;Benito Juárez;
88;Benito Juárez;
89;Benito Juárez;
90;Benito Juárez;
91;Benito Juárez;
92;Benito Juárez;
93;Benito Juárez 2da Sección (Monte Alegre);
94;Benito Juárez Centro;
95;Berrendos;
96;Blancas Mariposas;
97;Boca del Río Chico;
98;Boca Pantoja;
99;Bonito Arboledas;
100;Bordo la Luz;
