id;value
1;1011001
2;1011099
3;1019001
4;1019002
5;1019003
6;1019099
7;1021001
8;1029001
9;1029002
10;1029003
11;1029099
12;1031001
13;1039101
14;1039102
15;1039199
16;1039201
17;1039202
18;1039203
19;1039299
20;1041001
21;1041002
22;1041099
23;1042001
24;1042099
25;1051101
26;1051102
27;1051199
28;1051201
29;1051999
30;1059401
31;1059499
32;1059999
33;1061101
34;1061199
35;1061201
36;1061901
37;1061902
38;1061903
39;1061904
40;1061905
41;1061999
42;1062001
43;1062002
44;1062003
45;1062099
46;1063101
47;1063201
48;1063901
49;1063902
50;1063999
51;1069001
52;1069002
53;1069003
54;1069004
55;1069099
56;2011001
57;2012099
58;2013001
59;2021001
60;2022099
61;2023001
62;2031101
63;2031201
64;2031999
65;2032101
66;2032201
67;2032999
68;2041001
69;2042101
70;2042299
71;2042301
72;2043001
73;2044101
74;2044299
75;2044301
76;2045001
77;2050001
78;2061001
79;2062101
80;2062201
81;2062999
82;2063001
83;2063099
84;2064101
85;2064901
86;2064999
87;2068099
88;2069099
89;2071101
90;2071201
91;2071301
92;2071302
93;2071303
94;2071399
95;2071401
96;2071402
97;2071403
98;2071404
99;2071499
100;2072401
101;2072501
102;2072601
103;2072602
104;2072699
105;2072701
106;2072702
107;2072703
108;2072799
109;2073201
110;2073301
111;2073401
112;2073599
113;2073601
114;2073699
115;2081001
116;2083001
117;2084001
118;2085001
119;2089001
120;2089002
121;2089099
122;2090001
123;2090099
124;2101101
125;2101201
126;2101999
127;2102001
128;2109101
129;2109201
130;2109301
131;2109901
132;2109902
133;2109903
134;2109999
135;3011001
136;3019101
137;3019201
138;3019301
139;3019401
140;3019501
141;3019999
142;3021101
143;3021201
144;3021999
145;3022101
146;3022201
147;3022301
148;3022999
149;3023101
150;3023201
151;3023301
152;3023401
153;3023501
154;3023601
155;3023999
156;3024001
157;3025001
158;3026101
159;3026201
160;3026301
161;3026401
162;3026501
163;3026601
164;3026701
165;3026801
166;3026901
167;3026902
168;3026999
169;3027001
170;3031101
171;3031999
172;3032101
173;3032201
174;3032999
175;3033101
176;3033201
177;3033301
178;3033999
179;3034101
180;3034201
181;3034301
182;3034401
183;3034501
184;3034601
185;3034999
186;3035101
187;3035201
188;3036101
189;3036201
190;3037101
191;3037201
192;3037301
193;3037401
194;3037501
195;3037601
196;3037701
197;3037801
198;3037901
199;3037999
200;3038001
201;3041101
202;3041201
203;3041999
204;3042101
205;3042201
206;3042901
207;3042902
208;3042999
209;3049101
210;3049201
211;3049999
212;3051001
213;3052001
214;3053001
