id;code;value
1;20000;20000
2;20008;20008
3;20009;20009
4;20010;20010
5;20016;20016
6;20018;20018
7;20020;20020
8;20029;20029
9;20030;20030
10;20040;20040
11;20049;20049
12;20050;20050
13;20059;20059
14;20060;20060
15;20064;20064
16;20070;20070
17;20078;20078
18;20080;20080
19;20089;20089
20;20100;20100
21;20110;20110
22;20115;20115
23;20116;20116
24;20117;20117
25;20118;20118
26;20119;20119
27;20120;20120
28;20123;20123
29;20124;20124
30;20126;20126
31;20127;20127
32;20129;20129
33;20130;20130
34;20135;20135
35;20136;20136
36;20137;20137
37;20138;20138
38;20140;20140
39;20146;20146
40;20149;20149
41;20150;20150
42;20157;20157
43;20158;20158
44;20159;20159
45;20160;20160
46;20164;20164
47;20169;20169
48;20170;20170
49;20172;20172
50;20174;20174
51;20175;20175
52;20177;20177
53;20179;20179
54;20180;20180
55;20190;20190
56;20196;20196
57;20198;20198
58;20199;20199
59;20200;20200
60;20205;20205
61;20206;20206
62;20207;20207
63;20208;20208
64;20210;20210
65;20216;20216
66;20217;20217
67;20218;20218
68;20219;20219
69;20220;20220
70;20229;20229
71;20230;20230
72;20234;20234
73;20235;20235
74;20236;20236
75;20237;20237
76;20238;20238
77;20239;20239
78;20240;20240
79;20247;20247
80;20248;20248
81;20249;20249
82;20250;20250
83;20255;20255
84;20256;20256
85;20257;20257
86;20259;20259
87;20260;20260
88;20263;20263
89;20264;20264
90;20265;20265
91;20266;20266
92;20267;20267
93;20268;20268
94;20269;20269
95;20270;20270
96;20276;20276
97;20277;20277
98;20278;20278
99;20280;20280
100;20283;20283
101;20284;20284
102;20285;20285
103;20286;20286
104;20287;20287
105;20288;20288
106;20289;20289
107;20290;20290
108;20291;20291
109;20296;20296
110;20297;20297
111;20298;20298
112;20299;20299
113;20300;20300
114;20303;20303
115;20304;20304
116;20305;20305
117;20310;20310
118;20311;20311
119;20313;20313
120;20314;20314
121;20315;20315
122;20316;20316
123;20317;20317
124;20319;20319
125;20320;20320
126;20321;20321
127;20322;20322
128;20323;20323
129;20324;20324
130;20326;20326
131;20328;20328
132;20329;20329
133;20330;20330
134;20333;20333
135;20334;20334
136;20335;20335
137;20336;20336
138;20337;20337
139;20338;20338
140;20339;20339
141;20340;20340
142;20341;20341
143;20342;20342
144;20344;20344
145;20345;20345
146;20346;20346
147;20348;20348
148;20349;20349
149;20350;20350
150;20353;20353
151;20355;20355
152;20356;20356
153;20357;20357
154;20358;20358
155;20363;20363
156;20364;20364
157;20366;20366
158;20367;20367
159;20369;20369
160;20370;20370
161;20371;20371
162;20372;20372
163;20373;20373
164;20375;20375
165;20376;20376
166;20377;20377
167;20379;20379
168;20384;20384
169;20385;20385
170;20386;20386
171;20389;20389
172;20390;20390
173;20391;20391
174;20392;20392
175;20394;20394
176;20395;20395
177;20396;20396
178;20399;20399
179;20400;20400
180;20403;20403
181;20404;20404
182;20405;20405
183;20406;20406
184;20410;20410
185;20414;20414
186;20415;20415
187;20416;20416
188;20417;20417
189;20420;20420
190;20423;20423
191;20424;20424
192;20425;20425
193;20426;20426
194;20427;20427
195;20430;20430
196;20434;20434
197;20435;20435
198;20436;20436
199;20437;20437
200;20440;20440
201;20444;20444
202;20445;20445
203;20446;20446
204;20447;20447
205;20450;20450
206;20454;20454
207;20456;20456
208;20457;20457
209;20460;20460
210;20462;20462
211;20466;20466
212;20467;20467
213;20468;20468
214;20469;20469
215;20470;20470
216;20472;20472
217;20476;20476
218;20478;20478
219;20500;20500
220;20501;20501
221;20502;20502
222;20503;20503
223;20504;20504
224;20506;20506
225;20508;20508
226;20510;20510
227;20516;20516
228;20520;20520
229;20525;20525
230;20530;20530
231;20534;20534
232;20538;20538
233;20540;20540
234;20545;20545
235;20550;20550
236;20560;20560
237;20564;20564
238;20567;20567
239;20570;20570
240;20574;20574
241;20576;20576
242;20578;20578
243;20580;20580
244;20584;20584
245;20590;20590
246;20600;20600
247;20602;20602
248;20603;20603
249;20604;20604
250;20605;20605
251;20607;20607
252;20608;20608
253;20610;20610
254;20612;20612
255;20613;20613
256;20614;20614
257;20615;20615
258;20616;20616
259;20620;20620
260;20622;20622
261;20634;20634
262;20637;20637
263;20645;20645
264;20650;20650
265;20654;20654
266;20656;20656
267;20657;20657
268;20658;20658
269;20659;20659
270;20663;20663
271;20664;20664
272;20665;20665
273;20666;20666
274;20667;20667
275;20668;20668
276;20670;20670
277;20673;20673
278;20674;20674
279;20675;20675
280;20676;20676
281;20677;20677
282;20678;20678
283;20680;20680
284;20683;20683
285;20684;20684
286;20686;20686
287;20687;20687
288;20700;20700
289;20704;20704
290;20705;20705
291;20708;20708
292;20709;20709
293;20710;20710
294;20712;20712
295;20713;20713
296;20714;20714
297;20715;20715
298;20716;20716
299;20717;20717
300;20720;20720
301;20721;20721
302;20722;20722
303;20723;20723
304;20724;20724
305;20727;20727
306;20728;20728
307;20729;20729
308;20730;20730
309;20732;20732
310;20734;20734
311;20736;20736
312;20738;20738
313;20739;20739
314;20740;20740
315;20741;20741
316;20742;20742
317;20744;20744
318;20746;20746
319;20748;20748
320;20749;20749
321;20750;20750
322;20760;20760
323;20765;20765
324;20768;20768
325;20770;20770
326;20771;20771
327;20773;20773
328;20775;20775
329;20777;20777
330;20779;20779
331;20780;20780
332;20782;20782
333;20785;20785
334;20790;20790
335;20792;20792
336;20794;20794
337;20795;20795
338;20796;20796
339;20797;20797
340;20799;20799
341;20800;20800
342;20802;20802
343;20803;20803
344;20804;20804
345;20805;20805
346;20810;20810
347;20814;20814
348;20816;20816
349;20820;20820
350;20824;20824
351;20830;20830
352;20832;20832
353;20834;20834
354;20840;20840
355;20842;20842
356;20844;20844
357;20850;20850
358;20852;20852
359;20854;20854
360;20856;20856
361;20860;20860
362;20862;20862
363;20864;20864
364;20870;20870
365;20872;20872
366;20874;20874
367;20880;20880
368;20882;20882
369;20884;20884
370;20890;20890
371;20892;20892
372;20900;20900
373;20901;20901
374;20902;20902
375;20903;20903
376;20904;20904
377;20905;20905
378;20907;20907
379;20908;20908
380;20909;20909
381;20910;20910
382;20913;20913
383;20914;20914
384;20916;20916
385;20917;20917
386;20920;20920
387;20922;20922
388;20923;20923
389;20924;20924
390;20925;20925
391;20926;20926
392;20927;20927
393;20928;20928
394;20933;20933
395;20934;20934
396;20943;20943
397;20945;20945
398;20947;20947
399;20953;20953
400;20955;20955
401;20956;20956
402;20957;20957
403;20964;20964
404;20970;20970
405;20974;20974
406;20983;20983
407;20984;20984
408;20986;20986
409;20990;20990
410;20994;20994
411;20995;20995
412;20996;20996
413;20997;20997
414;21000;21000
415;21010;21010
416;21020;21020
417;21030;21030
418;21038;21038
419;21039;21039
420;21040;21040
421;21050;21050
422;21060;21060
423;21070;21070
424;21079;21079
425;21080;21080
426;21090;21090
427;21100;21100
428;21110;21110
429;21120;21120
430;21130;21130
431;21135;21135
432;21137;21137
433;21138;21138
434;21139;21139
