id;name;code;c_state_id
1;Aguascalientes;Aguascalientes;1
2;San Francisco de los Romo;San Francisco de los Romo;1
3;El Llano;El Llano;1
4;Rincón de Romos;Rincón de Romos;1
5;Cosío;Cosío;1
6;San José de Gracia;San José de Gracia;1
7;Tepezalá;Tepezalá;1
8;Pabellón de Arteaga;Pabellón de Arteaga;1
9;Asientos;Asientos;1
10;Calvillo;Calvillo;1
11;Jesús María;Jesús María;1
12;Mexicali;Mexicali;2
13;Tecate;Tecate;2
14;Tijuana;Tijuana;2
15;Playas de Rosarito;Playas de Rosarito;2
16;Ensenada;Ensenada;2
17;La Paz;La Paz;3
18;Los Cabos;Los Cabos;3
19;Comondú;Comondú;3
20;Loreto;Loreto;3
21;Mulegé;Mulegé;3
22;Campeche;Campeche;4
23;Carmen;Carmen;4
24;Palizada;Palizada;4
25;Candelaria;Candelaria;4
26;Escárcega;Escárcega;4
27;Champotón;Champotón;4
28;Hopelchén;Hopelchén;4
29;Calakmul;Calakmul;4
30;Tenabo;Tenabo;4
31;Hecelchakán;Hecelchakán;4
32;Calkiní;Calkiní;4
33;Saltillo;Saltillo;5
34;Arteaga;Arteaga;5
35;Juárez;Juárez;5
36;Progreso;Progreso;5
37;Escobedo;Escobedo;5
38;San Buenaventura;San Buenaventura;5
39;Abasolo;Abasolo;5
40;Candela;Candela;5
41;Frontera;Frontera;5
42;Monclova;Monclova;5
43;Castaños;Castaños;5
44;Ramos Arizpe;Ramos Arizpe;5
45;General Cepeda;General Cepeda;5
46;Piedras Negras;Piedras Negras;5
47;Nava;Nava;5
48;Acuña;Acuña;5
49;Múzquiz;Múzquiz;5
50;Jiménez;Jiménez;5
51;Zaragoza;Zaragoza;5
52;Morelos;Morelos;5
53;Allende;Allende;5
54;Villa Unión;Villa Unión;5
55;Guerrero;Guerrero;5
56;Hidalgo;Hidalgo;5
57;Sabinas;Sabinas;5
58;San Juan de Sabinas;San Juan de Sabinas;5
59;Torreón;Torreón;5
60;Matamoros;Matamoros;5
61;Viesca;Viesca;5
62;Ocampo;Ocampo;5
63;Nadadores;Nadadores;5
64;Sierra Mojada;Sierra Mojada;5
65;Cuatro Ciénegas;Cuatro Ciénegas;5
66;Lamadrid;Lamadrid;5
67;Sacramento;Sacramento;5
68;San Pedro;San Pedro;5
69;Francisco I. Madero;Francisco I. Madero;5
70;Parras;Parras;5
71;Colima;Colima;6
72;Tecomán;Tecomán;6
73;Manzanillo;Manzanillo;6
74;Armería;Armería;6
75;Coquimatlán;Coquimatlán;6
76;Comala;Comala;6
77;Cuauhtémoc;Cuauhtémoc;6
78;Ixtlahuacán;Ixtlahuacán;6
79;Minatitlán;Minatitlán;6
80;Villa de Álvarez;Villa de Álvarez;6
81;Tuxtla Gutiérrez;Tuxtla Gutiérrez;7
82;San Fernando;San Fernando;7
83;Berriozábal;Berriozábal;7
84;Ocozocoautla de Espinosa;Ocozocoautla de Espinosa;7
85;Suchiapa;Suchiapa;7
86;Chiapa de Corzo;Chiapa de Corzo;7
87;Osumacinta;Osumacinta;7
88;San Cristóbal de las Casas;San Cristóbal de las Casas;7
89;Chamula;Chamula;7
90;Ixtapa;Ixtapa;7
