id;name;abrev;c_country_id
1;Aguascalientes;AS;151
2;Baja California;BC;151
3;Baja California Sur;BS;151
4;Campeche;CC;151
5;Coahuila de Zaragoza;CL;151
6;Colima;CM;151
7;Chiapas;CS;151
8;Chihuahua;CH;151
9;Ciudad de México;DF;151
10;Durango;DG;151
11;Guanajuato;GT;151
12;Guerrero;GR;151
13;Hidalgo;HG;151
14;Jalisco;JC;151
15;México;MC;151
16;Michoacan de Ocampo;MN;151
17;Morelos;MS;151
18;Nayarit;NT;151
19;Nuevo Leon;NL;151
20;Oaxaca;OC;151
21;Puebla;PL;151
22;Queretaro;QT;151
23;Quintana Roo;QR;151
24;San Luis Potosi;SP;151
25;Sinaloa;SL;151
26;Sonora;SR;151
27;Tabasco;TC;151
28;Tamaulipas;TS;151
29;Tlaxcala;TL;151
30;Veracruz de Ignacio de la Llave;VZ;151
31;Yucatan;YN;151
32;Zacatecas;ZS;151
33;Alabama;AL;66
34;Alaska;AK;66
35;Arizona;AZ;66
36;Arkansas;AR;66
37;California;CA;66
38;Carolina del Norte;NC;66
39;Carolina del Sur;SC;66
40;Colorado;CO;66
41;Connecticut;CT;66
42;Dakota del Norte;ND;66
43;Dakota del Sur;SD;66
44;Delaware;DE;66
45;Florida;FL;66
46;Georgia;GA;66
47;Hawai;HI;66
48;Idaho;ID;66
49;Illinois;IL;66
50;Indiana;IN;66
51;Iowa;IA;66
52;Kansas;KS;66
53;Kentucky;KY;66
54;Luisiana;LA;66
55;Maine;ME;66
56;Maryland;MD;66
57;Massachusetts;MA;66
58;Michigan;MI;66
59;Minnesota;MN;66
60;Misisipi;MS;66
61;Misuri;MO;66
62;Montana;MT;66
63;Nebraska;NE;66
64;Nevada;NV;66
65;Nueva Jersey;NJ;66
66;Nueva York;NY;66
67;Nuevo Hampshire;NH;66
68;Nuevo Mexico;NM;66
69;Ohio;OH;66
70;Oklahoma;OK;66
71;Oregon;OR;66
72;Pensilvania;PA;66
73;Rhode Island;RI;66
74;Tennessee;TN;66
75;Texas;TX;66
76;Utah;UT;66
77;Vermont;VT;66
78;Virginia;VA;66
79;Virginia Occidental;WV;66
80;Washington;WA;66
81;Wisconsin;WI;66
82;Wyoming;WY;66
83;Ontario;ON;40
84;Quebec;QC;40
85;Nueva Escocia;NS;40
86;Nuevo Brunswick;NB;40
87;Manitoba;MB;40
88;Columbia Britanica;BC;40
89;Isla del Principe Eduardo;PE;40
90;Saskatchewan;SK;40
91;Alberta;AB;40
92;Terranova y Labrador;NL;40
93;Territorios del Noroeste;NT;40
94;Yukon;YT;40
95;Nunavut;UN;40
