id;name;description
1;Actividad Empresarial y Profesional ;Actividad Empresarial y Profesional
2;Adquisición de bienes ;Adquisición de bienes
3;Arrendamiento ;Arrendamiento
4;Consolidación Fiscal ;Consolidación Fiscal
5;Demás ingresos Persona Física ;Demás ingresos Persona Física
6;Dividendos ; Dividendos
7;Enajenación de bienes ; Enajenación de bienes
8;General de Ley de Persona Moral ; General de Ley de Persona Moral
9;Intereses ; Intereses
10;Obtención de premios ; Obtención de premios
11;Persona Moral Fin No Lucrativo ; Persona Moral Fin No Lucrativo
12;Régimen Intermedio ; Régimen Intermedio
13;Régimen Simplificado ; Régimen Simplificado
14;Régimen de incorporación ; Régimen de incorporación
15;Sueldos y salarios ; Sueldos y salarios
